(Australia,233.56971744299514)
(Brazil,64.53254675731621)
(Uzbekistan,15.05862151048192)
(Papua New Guinea,0.2235379417095757)
(Greenland,193.75748608468962)
(Finland,416.5525117863786)
(Peru,89.59158671310063)
(Djibouti,122.46938771379006)
(Montenegro,383.7200785909671)
(Uruguay,122.05910251438871)
(Gibraltar,3354.011457065684)
(United States Virgin Islands,430.9395439701981)
(Sweden,761.7382246439595)
(Vietnam,2.5786280451606736)
(Serbia,359.6098871997691)
(Iran,745.1696572687474)
(Slovakia,106.41721445889411)
(Madagascar,3.069587291099689)
(Angola,0.5172476534299544)
(Denmark,875.4872714233255)
(Saudi Arabia,80.28410058555116)
(Paraguay,16.123311083164037)
(Curacao,79.21998781230957)
(Isle of Man,1764.0417725091734)
(Suriname,17.04640372020715)
(New Caledonia,63.049273006854854)
(Iceland,4647.619047619047)
(Netherlands,1142.698869142479)
(French Polynesia,167.31694813886594)
(Vatican,8652.65760197775)
(Mongolia,4.575553367424257)
(Kazakhstan,37.493262263718556)
(Fiji,16.73277973861167)
(Indonesia,10.010104392410046)
(Eritrea,8.741192191464819)
(Somalia,0.5033593257602503)
(Norway,1081.486493316476)
(Liberia,2.7680692143843904)
(Bermuda,626.2746294541777)
(Democratic Republic of Congo,2.009794308271452)
(Poland,128.0960339771559)
(Afghanistan,9.427578740126636)
(Israel,1068.4485233216503)
(Saint Vincent and the Grenadines,72.10650130242368)
(Canada,473.82029596241676)
(Barbados,219.2288017928044)
(Japan,30.883217808012933)
(San Marino,8220.873357298604)
(Equatorial Guinea,11.404255925758294)
(South Sudan,0.08933573432052894)
(Cyprus,409.15683047572355)
(Singapore,253.14755049404795)
(Benin,2.1446486314914597)
(Turks and Caicos Islands,206.6222428844465)
(Moldova,261.7773142688716)
(Colombia,34.98229384953888)
(Cote d'Ivoire,13.230584638305572)
(Dominica,208.3593782556153)
(Mozambique,0.3199443552777301)
(Tanzania,0.40177979745041587)
(Taiwan,15.787192010673149)
(Cameroon,25.80439649656911)
(Luxembourg,4744.590846933428)
(Turkey,404.4270492107767)
(Congo,8.154992703999861)
(Panama,521.2331230786915)
(Chad,0.5479165503612322)
(Hungary,92.646746753482)
(Portugal,1220.1978540719078)
(United Kingdom,813.7465271928512)
(Bolivia,17.990189178832672)
(Guam,716.8968438764567)
(Jamaica,21.275438924124696)
(Sint Maarten (Dutch part),932.7923137913343)
(Georgia,49.132966089479666)
(Honduras,31.50048946914406)
(Dominican Republic,180.31133018876275)
(Kyrgyzstan,41.38444138131456)
(Faeroe Islands,3765.47631228896)
(Morocco,32.07754269117254)
(Zambia,2.1214149990350277)
(Belarus,91.1176580835808)
(Cambodia,6.998038336211003)
(Nepal,0.30888764479623165)
(Kenya,3.1987324092964093)
(Saint Kitts and Nevis,206.7980147390585)
(Bhutan,6.479940695582754)
(Syria,1.0856735264281792)
(Uganda,1.136835661660217)
(Albania,133.08777538397388)
(British Virgin Islands,99.21619208254788)
(Puerto Rico,200.29082367416567)
(Grenada,106.64865489384015)
(Trinidad and Tobago,76.4563687797921)
(Jordan,34.205156451837375)
