(Brunei,308.58341924143343)
(Guinea,10.96491896011145)
(Mexico,21.60040746202014)
(Anguilla,199.97333688841485)
(France,1197.5301711971615)
(South Korea,202.53882337075663)
(Myanmar,0.40433896882609044)
(Germany,1232.073758283881)
(Cayman Islands,684.7230675593428)
(Northern Mariana Islands,138.9926507635909)
(Macedonia,287.51355969626275)
(Cuba,34.961898593542855)
(Cape Verde,12.590199788484643)
(Kosovo,95.1999561252376)
(Bahrain,476.61501084578305)
(El Salvador,12.025529273607155)
(Oman,82.05032602765587)
(Bangladesh,0.9958140410301981)
(Libya,2.7651297347934967)
(Ghana,9.236330833784823)
(Venezuela,5.83768226008893)
(Senegal,14.154383110775072)
(Falkland Islands,1435.5440712029858)
(Saint Lucia,76.24068093819605)
(Sudan,0.3192755619255591)
(Iraq,25.632417753813087)
(Gambia,1.6551742401922651)
(Botswana,2.9766650720246637)
(Namibia,6.29694173282391)
(Greece,175.76419046391)
(Italy,2242.5058005192955)
(Slovenia,507.4721058697446)
(Mauritania,1.290416933711282)
(Maldives,35.14990509525625)
(Kuwait,173.98174432738728)
(Spain,3005.254029304339)
(Liechtenstein,2045.2578860424264)
(Montserrat,1200.2400480096019)
(Malaysia,122.44331226863453)
(Ukraine,33.42955267119847)
(Malta,663.5880409205074)
(Romania,229.60146653843225)
(Egypt,12.918431741864952)
(Latvia,290.53091874571226)
(Rwanda,8.106725269797607)
(Timor,0.7584709831755967)
(Antigua and Barbuda,153.1737603136999)
(Armenia,287.8611678996663)
(Monaco,2013.0465803689733)
(Burundi,0.252296295760556)
(Thailand,33.93983877759962)
(Togo,7.851439174840316)
(Pakistan,18.4343203838978)
(Ethiopia,0.4523171481181132)
(Burkina Faso,18.370324501257652)
(Chile,267.62628510705235)
(Niger,11.484454097628435)
(Belgium,1914.99010838668)
(Guyana,41.95489467414396)
(Nicaragua,0.9057213512034168)
(China,57.51589843467699)
(Zimbabwe,0.6728149845585597)
(Algeria,33.47696883743449)
(Seychelles,111.85682326621922)
(Sri Lanka,8.639510583400465)
(United Arab Emirates,238.51411469707995)
(Costa Rica,94.8153103758573)
(Bulgaria,83.0401622233464)
(Aruba,693.1045463911734)
(Mauritius,210.7304246768472)
(Haiti,2.192495299070829)
(Sierra Leone,0.7521638814664939)
(New Zealand,200.94425134579765)
(Palestine,50.9662415298027)
(Philippines,34.34899371547563)
(India,3.7637561564704733)
(Austria,1403.4464380884708)
(Lebanon,80.28784069954737)
(Argentina,37.94602314282593)
(Croatia,312.28168294980986)
(Estonia,866.1637539491865)
(Lithuania,323.25713893187765)
(Ecuador,226.4346434235331)
(Laos,1.6493584820184184)
(Belize,17.60470397690263)
(Malawi,0.41819230625477166)
(Guinea-Bissau,16.768309723891996)
(Switzerland,2560.9449198104408)
(Bosnia and Herzegovina,238.0506063280008)
(Swaziland,8.6194710403012)
(Tunisia,50.42890801614876)
(Mali,2.765318208622914)
(Qatar,713.9733292607582)
(Ireland,1156.183852066793)
(United States,1204.8513920192304)
(South Africa,29.489776287420945)
(Azerbaijan,70.71581267706692)
(Central African Republic,1.8634450875860602)
(Nigeria,1.2321747787337909)
(Guatemala,4.465390350190981)
(Russia,51.372376339351234)
(Gabon,13.47873594617132)
(Bahamas,91.54528440068354)
(Andorra,7053.6465411247)
(Czech Republic,468.48523977349106)
